exp_subject_id,Task_Name,strategy
377647,25%,"Identify major or minor tone, different styles or rythm variation"
393320,100%,"key changes, meaningful breaks, new segments, different hand dynamics, unexpected notes/chords, different motifs"
393320,75%,"key changes, different dynamics, meaningful breaks, different chords than expected"
393320,50%,"the change in dynamics on both hands, the motifs and meaningful breaks"
393320,25%,"I pay attention to the use of both hands, so when there's a change on the rythm of the left hand i usually press the space bar, and when there's any stacatto. again when the otif changes and there'"
393277,100%,same as before
393277,75%,same as the last time + measuring the tempo change
393277,50%,"the same as the last one, indicating the mood of the melodies"
393277,25%,I tried to indicate the mood of the melodies
393267,100%,imagine myself playing the piano
393267,75%,imagine myself playing the piano and trying to catch changes in rhythm and time
393267,50%,imagine myself playing the piece
393267,25%,"trying to imagine myself playing the piece, and listening closely to any rhytmic change and tone different sequences"
393263,100%,"I used the same strategy, but I pressed the space bar also when the melody changed more severely. I also used the first time to practice"
393263,75%,I didn´t change my strategie
393263,50%,I pressed the space bar when I thought the tone and the rhythm changed together
393263,25%,"In some pieces was the big change in the rhythim and in other the tone, overall it was more intuition than other thing"
393251,100%,The 1st time I listen more relaxed and on the 2nd I focus more to find the changes
393251,75%,The first listening is like a preparatio
393251,50%,I just follow my instinct for the last few pieces because it felt diff
393251,25%,I close my eyes and try to focus on the song until I hear something worth of attention
393232,100%,i waited for major changes like parts not in the style of play or insignificant diferations 
393232,75%,the first i pressed in major changes but the third i closed my eyes and tryed to feel consistency
393232,50%,i only press when in my opinion the change had the duration to be considered significant and be meaningful. otherwise i 
393232,25%,did not press space much only in major changes in my opinion spe
393275,100%,"When the mood changed - it became happier, sadder, tempo changed, wheb there was a pause, when the notes seemed off, when th"
393275,75%,"When the tempo changed, when the notes sounded off, when there was a pause,  when the mood change"
393275,50%,"When the mood of the piece changed, when the tempo was faster or slower, when the notes seemed off at first, when there was a pause"
393275,25%,"I pressed the spacebar when the mood of the music changed - when it was happy, sad or anxious also when the tempo changed. Often when the was a pause because it indicated the chang"
393254,100%,"the last one where the most difficult i think, but i was just listening to the mayor and minor tones and the pauses in the music"
393254,75%,listening to the pauses and silences in each piece
393254,50%,"in this time there wasnt so many silences, it was more the tone and intention of the pieces"
393254,25%,listening to the silences and the tones of the music
393253,100%,tried to noticed short changes or tempo variations
393253,75%,tried to hear changes in tempo or sudden breaks
393253,50%,I tried to keep up but mostly i did not hear significant changes
393253,25%,tried to keep my ears open for sudden breaks
393252,100%,I relied on my intuition.
393252,75%,I'm mostly using my intuition now.
393252,50%,"I'm generally just trying to relax and listen to the music instead of overthinking it anI press space whenever the music starts feeling ""off""."
393252,25%,It was difficult to determine at first what the change is but now I'm pressing space whe I feel like a new piece is being played (in the same recording).
393247,100%,"The dynamic changes now were more smooth, not as extreme as before, but despite that I could predict more or less accurately when a change that I would consider meaningful would come. I went mostly by "
393247,75%,I've started to go a little bit by instinct. Just stopped thinking too much about it and press the space bar whenever it felt meaningful
393247,50%,"The changes in the pieces dynamics have become so frequent, so I try to choose the more extreme ones. Also, I'm looking for other changes like when the second hand fully comes in."
393247,25%,"I tried to listen for changes in tonality, volume and tempo, also for dissonances. I now know that there are no background frequencies"
393249,100%,"It became a bit tiring, but the strategy continued."
393249,75%,I tried to hear the different beats
393249,50%,
393249,25%,I tried to listen to key changes
393245,100%,"I clicked the spacebar when I felt the music had changed it's vibe, like if it seemed like it changed to a different song by the tones and notes played."
393245,75%,I tapped the spacebar when I felt that the music had changed. I guided this by the notes and tones played and if they were different from the original bit.
393245,50%,"I tried to press the spacebar when I felt that the music had changed to another one, with the change of tones, notes and rythm that seemed different from the original piece."
393245,25%,"These seemed a lot harder but I clicked the space bar when I noticed that the overall vibe of the song changed a bit. For example, when the notes used did not align a lot with the first seconds of the song or the rest of the song."
393246,100%,mostly listening for difference in key but also listening fortempo changes. also counting the beat 
393246,75%,"mostly listening for key changes, and counting the beat"
393246,50%,"listening for key changes, pauses or dramatic melody changes"
393246,25%,listening out for key/tempo changes
393244,100%,"the strategies used didnt vary, i tried to spot low to high pitches and vice versa, but it was very dificult"
393244,75%,"this one was harder than the one before, but the strategy used was the same"
393244,50%,the same strategy as before. however this time it was a bit easier
393244,25%,"the songs tend to be very fluid, so its hard to notice any unusual change, but i try to find a high to low pitch transition"
393242,100%,"i think someone was ""talking"" and each tone was a different feeleng of the ""speaker"""
393242,75%,"i prefer to use the ""like talking"" strategy, so the music ""speaks"" and change the subject once in a while"
393242,50%,"Now i think it like different colors, but i noticed almost each tone is a different colors, the last one was a rainbown"
393242,25%,"I was thinking like someone was talking to me about something, then the rythm change and feel like starts talking about something else"
393241,100%,In this task the strategy I used was listening carefully to the melodies and try to determine the rhythm and tone until there was a variation 
393241,75%,"I listened to the tones and tried to figure when they were changing drastically, as the song progressed it was easier to find the differences."
393241,50%,I tried listening to the patterns in the sequences of music and try to differ when the music changed in tones
393241,25%,"I tried to hear closely on the changes in the patterns of the music, but I found it a bit difficult as the songs were extremely similar"
393240,100%,"pauses, ritmic differences, tonal changes, previsions"
393240,75%,"mood changes, ritmic changes tonal changes, previsions"
393240,50%,"ritmic differences, mood/tonal changes, pauses, prevision"
393240,25%,"ritmic differences, tonal differences, prediction of changes"
393239,100%,Remember other pieces.
393239,75%,Repeated melodies.
393239,50%,Different melodies in the pieces.
393239,25%,The tempo of the pieces was diferent.
393236,100%,"I tried to focus more on the second attempt, because it's ea"
393236,75%,"Some of the music clips are so complicated. Now I try to just find the most meaningful change in rhythm, key and melody."
393236,50%,"It's harder to find a meaningful change, but still I try to focus on change of key, melody and speed"
393236,25%,I try to pinpoint the most important changes in keys and melody
393233,100%,At the last pecies i tried to observe not only the rythmic but also the melodic part of the songs so when i thought that the tone was changing i was pressing the button
393233,75%,At the last song i tried to press the button every time the rythic part of the chords changed
393233,50%,The same as before
393233,25%,I was pressing the button when the chords or the arp of the chords were changing
393231,100%,"as the others, i tried to find a changein the melody"
393231,75%,i listened very carefully for a change in the melody in the notes of higher pitch
393231,50%,i concentrated on the change in the melody 
393231,25%,i listened and tried to find a change in the melody or a long pause
393230,100%,"Becouse the pauses between parts of melody, happier or sadder tone, or higher and lower notes,"
393230,75%,"I use the same trategy, sometimes there are some pauses or melody chenges into more sad or happy, lively etc. "
393230,50%,"mostly I recognised it because there were some pauses in that melodies, and sometimes because some parts were more lively than other a"
393230,25%,"Some parts were more lively and ""happy"" and some more like melancholic, left hand also sometimes played single notes and sometimes some acords and more notes than usual. Mel"
393229,100%,Pressing spacebar when there is a change in the music
393229,75%,Pressing spacebar when there is a change in the music 
393229,50%,Pressing spacebar when there is a change in the music
393229,25%,Pressing spacebar when there is change in the music
393227,100%,"Rhythen changes, how the lower and higher voices phrase their melodys, and chords progressio"
393227,75%,"Rythm changes, contrast beetween lower and higher voices."
393227,50%,"Rhythm changes, this pieces always revolved arround the same theme/melody."
393227,25%,"Key shifts, chord progressions, such as IV-V-I, ritimical changes, some of them didnt'"
